permno,date,ret,vol,shrout
10066,2022-10-28,0.042169,38952.0,11684.0
10066,2022-10-31,0.00289,3755.0,11684.0
10066,2022-11-01,0.010087,13943.0,11684.0
10066,2022-11-02,0.027104,5894.0,11684.0
10066,2022-11-03,-0.036111,9690.0,11684.0
10066,2022-11-04,0.007205,10915.0,11684.0
10066,2022-11-07,-0.04721,1082.0,11684.0
10066,2022-11-08,0.006006,4803.0,11684.0
10066,2022-11-09,-0.026866,4671.0,11684.0
10066,2022-11-10,0.021472,4393.0,11684.0
10066,2022-11-11,0.003003,11348.0,11684.0
10066,2022-11-14,-0.008982,6552.0,11684.0
10066,2022-11-15,0.021148,6185.0,11684.0
10066,2022-11-16,0.035503,15777.0,11684.0
10066,2022-11-17,-0.017143,10538.0,11684.0
10066,2022-11-18,-0.031977,3681.0,11684.0
10066,2022-11-21,0.018018,5420.0,11684.0
10066,2022-11-22,0.047198,2467.0,11684.0
10066,2022-11-23,0.005662,9535.0,11684.0
10066,2022-11-25,-0.019635,11077.0,11684.0
10066,2022-11-28,-0.048571,13890.0,11684.0
10066,2022-11-29,-0.036036,11810.0,11684.0
10066,2022-11-30,0.05919,32377.0,11684.0
10066,2022-12-01,-0.005882,10824.0,11684.0
10066,2022-12-02,-0.005533,3217.0,11684.0
10066,2022-12-05,-0.033112,7257.0,11684.0
10066,2022-12-06,0.012308,16412.0,11684.0
10066,2022-12-07,0.039514,12583.0,11684.0
10066,2022-12-08,-0.04386,4314.0,11684.0
10066,2022-12-09,0.036697,6067.0,11684.0
10066,2022-12-12,0.120944,50696.0,11684.0
10066,2022-12-13,0.118421,47496.0,11684.0
10066,2022-12-14,0.004706,24041.0,11684.0
10066,2022-12-15,-0.002342,14846.0,11684.0
10066,2022-12-16,0.0,14512.0,11684.0
10066,2022-12-19,0.0,5455.0,11684.0
10066,2022-12-20,0.0,11028.0,11684.0
10066,2022-12-21,-0.004695,17142.0,11684.0
10066,2022-12-22,0.014151,11806.0,11684.0
10066,2022-12-23,-0.009302,5511.0,11684.0
10066,2022-12-27,0.002347,4829.0,11684.0
10066,2022-12-28,-0.007026,20403.0,11684.0
10066,2022-12-29,0.051887,40265.0,11684.0
10066,2022-12-30,0.0,14045.0,11784.0
10066,2023-01-03,-0.033632,4424.0,11784.0
10066,2023-01-04,-0.00696,10113.0,11784.0
10066,2023-01-05,0.121495,60279.0,11784.0
10066,2023-01-06,0.03125,21712.0,11784.0
10066,2023-01-09,0.010101,17651.0,11784.0
10066,2023-01-10,0.01,104545.0,11784.0
10066,2023-01-11,0.0,12658.0,11784.0
10066,2023-01-12,-0.00396,5177.0,11784.0
10066,2023-01-13,0.005964,12402.0,11784.0
10066,2023-01-17,-0.011858,25800.0,11784.0
10066,2023-01-18,-0.032,37492.0,11784.0
10066,2023-01-19,-0.028926,41238.0,11784.0
10066,2023-01-20,-0.010638,15853.0,11784.0
10066,2023-01-23,-0.002151,4854.0,11784.0
10066,2023-01-24,0.034483,23416.0,11784.0
10066,2023-01-25,0.05,45734.0,11784.0
10066,2023-01-26,0.013889,9127.0,11784.0
10066,2023-01-27,0.007828,15813.0,11784.0
10066,2023-01-30,-0.025243,8909.0,11784.0
10066,2023-01-31,0.013944,10624.0,11784.0
10066,2023-02-01,-0.009823,4830.0,11784.0
10066,2023-02-02,-0.001984,29388.0,11784.0
10066,2023-02-03,-0.005964,3208.0,11784.0
10066,2023-02-06,0.0,4976.0,11784.0
10066,2023-02-07,0.00198,3741.0,11784.0
10066,2023-02-08,0.057905,30351.0,11784.0
10066,2023-02-09,-0.00566,6736.0,11784.0
10066,2023-02-10,-0.003795,8034.0,11784.0
10066,2023-02-13,0.026667,12066.0,11784.0
10066,2023-02-14,-0.010204,4946.0,11784.0
10066,2023-02-15,-0.020619,12267.0,11784.0
10066,2023-02-16,0.018182,30550.0,11784.0
10066,2023-02-17,-0.002368,5240.0,11784.0
10066,2023-02-21,-0.013641,4769.0,11784.0
10066,2023-02-22,-0.010506,9353.0,11784.0
10066,2023-02-23,-0.015444,16244.0,11784.0
10066,2023-02-24,-0.017647,491.0,11784.0
10066,2023-02-27,0.005988,21721.0,11784.0
10066,2023-02-28,-0.005952,4186.0,11784.0
10066,2023-03-01,-0.01996,2056.0,11784.0
10066,2023-03-02,0.004073,3991.0,11784.0
10066,2023-03-03,0.044625,9258.0,11784.0
10066,2023-03-06,-0.011651,2496.0,11784.0
10066,2023-03-07,-0.007859,3344.0,11784.0
10066,2023-03-08,0.005941,1142.0,11784.0
10066,2023-03-09,-0.029528,3878.0,11784.0
10066,2023-03-10,-0.001014,3232.0,11784.0
10066,2023-03-13,0.005076,4497.0,11784.0
10066,2023-03-14,-0.008081,6001.0,11784.0
10066,2023-03-15,-0.059063,26409.0,11784.0
10066,2023-03-16,0.028139,8251.0,11784.0
10066,2023-03-17,0.010526,10572.0,11784.0
10066,2023-03-20,-0.00625,5634.0,11784.0
10066,2023-03-21,0.006289,7653.0,11784.0
10066,2023-03-22,0.002083,4695.0,11784.0
10066,2023-03-23,0.008586,2278.0,11784.0
10066,2023-03-24,0.001793,1214.0,11784.0
10066,2023-03-27,6.2e-05,5342.0,11784.0
10066,2023-03-28,0.014341,7509.0,11784.0
10066,2023-03-29,-0.002028,6209.0,11784.0
10066,2023-03-30,-0.004065,9197.0,11784.0
10066,2023-03-31,0.016327,8446.0,11784.0
10066,2023-04-03,-0.012048,4116.0,11784.0
10066,2023-04-04,0.002032,2805.0,11784.0
10066,2023-04-05,-0.014199,1562.0,11784.0
10066,2023-04-06,0.006173,3634.0,11784.0
10066,2023-04-10,-0.007975,5033.0,11784.0
10066,2023-04-11,-0.043496,10704.0,11784.0
10066,2023-04-12,-0.023707,6233.0,11784.0
10066,2023-04-13,0.015453,936.0,11784.0
